PDB ID,-log(Kd/Ki),set
3zzf,0.4,general
3gww,0.45,general
1w8l,0.49,general
3fqa,0.49,general
1zsb,0.6,general
6h9v,0.66,general
4obv,0.75,general
1wkm,0.82,general
3k41,0.82,general
4eu3,0.82,general
2w97,0.96,general
1p0y,1.0,general
2b1r,1.0,general
2d2v,1.0,general
1aw1,1.05,general
1maw,1.1,general
3fl9,1.11,general
5eb2,1.11,general
4lh2,1.24,general
4to8,1.24,general
4fci,1.26,general
4fck,1.26,general
4clp,1.27,general
1f9g,1.28,general
1a0t,1.3,general
1b74,1.3,general
2fah,1.3,general
5oxm,1.3,general
2igw,1.31,general
5mnc,1.31,general
5mny,1.31,general
5moo,1.31,general
2vl1,1.35,general
3nm6,1.35,general
1qpb,1.36,general
6k2n,1.36,general
1hty,1.4,general
1o4l,1.4,general
1o4m,1.4,general
1o4n,1.4,general
2hdq,1.4,general
3eor,1.4,general
3e81,1.43,general
1ozv,1.44,general
1utp,1.44,general
5eb3,1.45,general
1tnk,1.49,general
4bh4,1.49,general
5vqe,1.49,general
4lh3,1.52,general
5ct1,1.52,general
5ele,1.52,general
3mwe,1.54,general
4amw,1.55,general
1iig,1.57,general
3rup,1.57,general
5cs5,1.58,general
5ofv,1.58,general
2b1q,1.59,general
1w8m,1.6,general
3itc,1.6,general
2it4,1.62,general
5k5c,1.62,general
1a7t,1.64,general
4d63,1.64,general
1hgj,1.66,general
1rdj,1.66,general
2o9r,1.68,general
4qsw,1.68,general
2sfp,1.7,general
3gf2,1.7,general
3oay,1.7,general
4tyb,1.7,general
6cex,1.7,general
6cf5,1.7,general
3g6m,1.71,general
2hdr,1.72,general
3ern,1.72,general
3vzg,1.72,general
3zst,1.72,general
5y61,1.72,general
1u2y,1.74,general
4qsx,1.74,general
5y62,1.74,general
5ggj,1.75,general
5zef,1.75,general
4bgx,1.77,general
3f39,1.78,general
5ggl,1.78,general
2zgm,1.79,general
1ga8,1.8,general
3rxh,1.8,general
1af6,1.82,general
1bra,1.82,general
1d5r,1.82,general
1y1m,1.82,general
3eqb,1.82,general
4ahv,1.82,general
1rdn,1.84,general
1fd7,1.85,general
3khv,1.85,general
1mwt,1.88,general
1tnl,1.88,general
2ay2,1.88,general
4x8s,1.89,general
1f2p,1.9,general
4mrh,1.9,general
1f2o,1.91,general
1efi,1.92,general
3ehn,1.92,general
4bh3,1.92,general
2rjr,1.94,general
5nn4,1.94,general
4mrf,1.95,general
6abk,1.95,general
1tnj,1.96,general
2gga,1.96,general
5oxn,1.96,general
1wdq,1.98,general
6h7u,1.98,general
6hzp,1.98,general
3i3d,1.99,general
1gbt,2.0,general
1ing,2.0,general
2bmv,2.0,general
2hds,2.0,general
3rv3,2.0,general
4awj,2.0,general
4ctk,2.0,general
4kz5,2.0,general
4u58,2.0,general
4y4g,2.0,general
6evq,2.0,general
6ra1,2.0,general
4ty8,2.03,general
5ekx,2.03,general
5nzq,2.03,general
2ks9,2.04,general
1jfh,2.05,general
4e4a,2.05,general
4ty9,2.05,general
4x8t,2.05,general
5eiw,2.05,general
1qq9,2.06,general
1rdi,2.06,general
2zg3,2.06,general
4b0c,2.07,general
3rxp,2.08,general
5tyh,2.08,general
1njj,2.1,general
2zg1,2.1,general
4aml,2.1,general
6r49,2.1,general
3uf9,2.11,general
6aao,2.11,general
1qx1,2.12,general
1p2g,2.13,general
6gz9,2.13,general
6dim,2.14,general
6djd,2.14,general
1uxb,2.15,general
3rxg,2.15,general
4b0j,2.15,general
6fap,2.15,general
6fi1,2.15,general
6r9s,2.15,general
2ay9,2.16,general
6gmx,2.17,general
3l7d,2.18,general
6g47,2.18,general
4amx,2.19,general
4jdf,2.19,general
5nzp,2.19,general
1w1v,2.2,general
2vvo,2.2,general
4eh8,2.2,general
1icj,2.22,general
4uru,2.22,general
4x11,2.22,general
5fsb,2.22,general
5hcl,2.22,general
5jqb,2.22,general
2igv,2.23,general
1rdl,2.24,general
2ay8,2.24,general
2os9,2.24,general
5f6v,2.24,general
5nzo,2.24,general
1ukt,2.25,general
3ao1,2.26,general
4eh9,2.26,general
5v6u,2.26,general
1hge,2.27,general
4mfe,2.27,general
2rjs,2.28,general
3fu0,2.28,general
2ay1,2.29,general
4ehv,2.29,general
5fnj,2.29,general
1hyv,2.3,general
1inh,2.3,general
1jdj,2.3,general
1n1g,2.3,general
1o4g,2.3,general
1uxa,2.3,general
1w1p,2.3,general
2ay7,2.3,general
2hdu,2.3,general
2xix,2.3,general
2xlc,2.3,general
4b6e,2.3,general
4e3d,2.3,general
4led,2.3,general
4wh7,2.3,general
5enc,2.3,general
5eni,2.3,general
5enj,2.3,general
5g42,2.3,general
6au2,2.3,general
6gmq,2.3,general
2qve,2.32,general
1z6d,2.34,general
5elf,2.34,general
1qi0,2.35,general
4k3k,2.35,general
1o4j,2.36,general
4jck,2.37,general
4aj2,2.38,general
4nyt,2.39,general
4tya,2.39,general
2wi1,2.4,general
3dxg,2.4,general
3l7b,2.4,general
3pcb,2.4,general
3t2t,2.4,general
4u5l,2.4,general
4y38,2.4,general
4zsm,2.4,general
1o4r,2.41,general
2wsx,2.41,general
6aaq,2.41,general
5os3,2.43,general
1o4h,2.44,general
1t4s,2.44,general
2i2b,2.44,general
2xiy,2.44,general
3ked,2.44,general
3l7c,2.44,general
4d62,2.44,general
1gbq,2.46,general
1o4o,2.46,general
2aez,2.46,general
3l79,2.46,general
4ah9,2.46,general
4eh6,2.46,general
5aqh,2.46,general
1tok,2.47,general
3rik,2.47,general
4gne,2.47,general
5dv4,2.47,general
5jal,2.47,general
4ze6,2.48,general
5mnb,2.48,general
5mnx,2.48,general
5mon,2.48,general
1o4q,2.49,general
4ej2,2.49,general
6c3n,2.49,general
4ctj,2.51,general
6dji,2.51,general
1rq2,2.52,general
1wdr,2.52,general
3ad7,2.52,general
3bf1,2.52,general
3fq7,2.52,general
4e3f,2.52,general
5f6d,2.52,general
5f6u,2.52,general
1iup,2.54,general
1il3,2.55,general
1kf0,2.55,general
5eif,2.55,general
5n53,2.55,general
5os0,2.55,general
2ria,2.57,general
2wq4,2.57,general
5v4q,2.57,general
6poq,2.57,general
2ay5,2.59,general
2jst,2.59,general
4o3a,2.59,general
4wef,2.59,general
5tpb,2.59,general
1o4p,2.6,general
2c4v,2.6,general
3gwv,2.6,general
3rxf,2.6,general
6mia,2.6,general
1cze,2.62,general
1w1y,2.62,general
2kfh,2.62,general
3f38,2.62,general
3fk1,2.62,general
3rxl,2.62,general
4lnf,2.62,general
4lno,2.62,general
5foo,2.62,general
1g5f,2.64,general
1o4i,2.64,general
3p1d,2.64,general
1il5,2.66,general
3rxb,2.66,general
4y2p,2.66,general
5eld,2.66,general
6prt,2.67,general
1hgi,2.68,general
1o8b,2.68,general
2q72,2.68,general
3rxk,2.68,general
5aqj,2.68,general
5aqp,2.68,general
4usw,2.69,general
5k5s,2.69,general
1br5,2.7,general
1gym,2.7,general
1lt5,2.7,general
1tc1,2.7,general
1ylv,2.7,general
2ha4,2.7,general
2krd,2.7,general
2ohk,2.7,general
2ow6,2.7,general
3ftz,2.7,general
3fud,2.7,general
3fuf,2.7,general
3fuh,2.7,general
3gk2,2.7,general
3gsg,2.7,general
3hvg,2.7,general
3rqw,2.7,general
3sl0,2.7,general
3zsw,2.7,general
3zsz,2.7,general
3zt1,2.7,general
4h4b,2.7,general
4okp,2.7,general
4old,2.7,general
4wks,2.7,general
4ypf,2.7,general
4yrc,2.7,general
4yrg,2.7,general
4yrr,2.7,general
5aok,2.7,general
6fty,2.7,general
4kpz,2.71,general
6poh,2.71,general
3p4r,2.72,general
6dih,2.72,general
1dg9,2.74,general
6a9c,2.74,general
5oyd,2.75,general
6aan,2.75,general
1ny2,2.76,general
2p3o,2.77,general
3l0n,2.77,general
4a4h,2.77,general
4g5y,2.77,general
4urv,2.77,general
5aqn,2.77,general
5oug,2.77,general
6er4,2.77,general
2yiv,2.78,general
3ftw,2.78,general
4yrt,2.78,general
6aad,2.79,general
2bge,2.8,general
3zt4,2.8,general
4kz8,2.8,general
4urw,2.8,general
4yw2,2.8,general
5hki,2.8,general
5ofw,2.8,general
5zee,2.8,general
6rqk,2.8,general
4eh4,2.81,general
4oyt,2.81,general
1czc,2.82,general
1p17,2.82,general
2a3a,2.82,general
2rib,2.82,general
2w6z,2.82,general
2xj0,2.82,general
2yc0,2.82,general
3fue,2.82,general
4pb1,2.82,general
4z46,2.82,general
5aip,2.82,general
6cw4,2.82,general
6evm,2.82,general
6quw,2.82,general
4yz5,2.83,general
3fu3,2.84,general
3moh,2.84,general
4cgj,2.84,general
1il4,2.85,general
2a29,2.85,general
2ork,2.85,general
3atk,2.85,general
3k3g,2.85,general
3rxa,2.85,general
4luv,2.85,general
4mlt,2.85,general
4x47,2.85,general
4ym2,2.85,general
5aqo,2.85,general
6jjm,2.85,general
3qx8,2.86,general
4ouj,2.86,general
4pd5,2.86,general
5z1c,2.86,general
4fgz,2.87,general
5thj,2.87,general
1e34,2.88,general
2woq,2.88,general
4a4f,2.88,general
4ucv,2.88,general
1ugp,2.89,general
2k2r,2.89,general
2wpb,2.89,general
2wtx,2.89,general
3f36,2.89,general
4cd8,2.89,general
4kzb,2.89,general
4u5u,2.89,general
4urx,2.89,general
5aes,2.89,general
6f6s,2.89,general
6mvu,2.89,general
5aom,2.9,general
5dv2,2.9,general
1ms0,2.91,general
2ay4,2.91,general
2pri,2.91,general
4kc1,2.91,general
1eef,2.92,general
1o4k,2.92,general
1p6e,2.92,general
1zp5,2.92,general
2aa9,2.92,general
2aay,2.92,general
2fkf,2.92,general
2fwp,2.92,general
2kfg,2.92,general
3iaf,2.92,general
4u4s,2.92,general
4x14,2.92,general
4zki,2.92,general
5c0k,2.92,general
5x4m,2.92,general
3ftv,2.93,general
1p6d,2.94,general
4y62,2.95,general
1w1t,2.96,general
1ykp,2.96,general
2br6,2.96,general
2kdh,2.96,general
3img,2.96,general
4bgy,2.96,general
4k3l,2.96,general
2hw2,2.97,general
2rnw,2.98,general
5aqu,2.98,general
3ump,2.99,general
4a4g,2.99,general
1hqg,3.0,general
1mcz,3.0,general
1ux7,3.0,general
1w7h,3.0,general
1wbg,3.0,general
1wbo,3.0,general
1yc5,3.0,general
1z9h,3.0,general
1zm7,3.0,general
2f1b,3.0,general
2h2e,3.0,general
2r0y,3.0,general
2vin,3.0,general
2vtm,3.0,general
2wa3,3.0,general
2xgm,3.0,general
2xgo,3.0,general
2xp3,3.0,general
2ych,3.0,general
3ap7,3.0,general
3d9o,3.0,general
3eka,3.0,general
3grj,3.0,general
3nf8,3.0,general
3nk8,3.0,general
3ob0,3.0,general
4fe9,3.0,general
4k5z,3.0,general
4k64,3.0,general
4k72,3.0,general
4l5j,3.0,general
4lkh,3.0,general
4m5r,3.0,general
4o7d,3.0,general
4oyp,3.0,general
4oz2,3.0,general
4txs,3.0,general
4wh9,3.0,general
5a5o,3.0,general
5aqr,3.0,general
5c7b,3.0,general
5fnq,3.0,general
5jah,3.0,general
5l97,3.0,general
5lz2,3.0,general
5tpc,3.0,general
5u66,3.0,general
5ye8,3.0,general
6fh6,3.0,general
6fh7,3.0,general
6gjy,3.0,general
6n17,3.0,general
1g42,3.01,general
5jan,3.01,general
3dc2,3.02,general
3fuk,3.02,general
4xm8,3.02,general
5z4h,3.02,general
6f6n,3.02,general
6n19,3.02,general
1ws5,3.03,general
2ggu,3.03,general
3adv,3.03,general
3esj,3.03,general
2pcu,3.04,general
3ay0,3.04,general
3zvv,3.04,general
1gvk,3.05,general
1gzg,3.05,general
1o41,3.05,general
1pum,3.05,general
1uj6,3.05,general
2ohl,3.05,general
2vcw,3.05,general
4guj,3.05,general
4u5v,3.05,general
5abe,3.05,general
5ort,3.05,general
2jfh,3.06,general
2ksa,3.06,general
3atm,3.06,general
3hw1,3.06,general
3rxi,3.06,general
3rxj,3.06,general
4csy,3.06,general
4nyi,3.06,general
1s26,3.07,general
4yrs,3.07,general
1hiy,3.08,general
4yv1,3.08,general
6ew6,3.08,general
1mdl,3.09,general
1ugw,3.09,general
4eh5,3.09,general
6pml,3.09,general
1a5v,3.1,general
1af2,3.1,general
1pu7,3.1,general
1pu8,3.1,general
1swi,3.1,general
3mo8,3.1,general
4j79,3.1,general
4pl6,3.1,general
4pxf,3.1,general
4y2j,3.1,general
4y64,3.1,general
5aqq,3.1,general
5cr7,3.1,general
5ggo,3.1,general
5lzg,3.1,general
5lzh,3.1,general
1k2i,3.11,general
1uod,3.11,general
2ay6,3.11,general
2lto,3.11,general
2lwi,3.11,general
3msj,3.11,general
4aj1,3.11,general
4ajk,3.11,general
4d52,3.11,general
4gbz,3.11,general
4wf4,3.11,general
5enb,3.11,general
1h9l,3.12,general
2ksb,3.12,general
4uct,3.12,general
3kac,3.13,general
6dhu,3.13,general
6die,3.13,general
6qhg,3.13,general
2f1a,3.14,general
3odk,3.14,general
6cea,3.14,general
1eei,3.15,general
1k9q,3.15,general
1noi,3.15,general
1noj,3.15,general
1nok,3.15,general
1rin,3.15,general
2fr8,3.15,general
2p8n,3.15,general
3cgy,3.15,general
3e73,3.15,general
4lw1,3.15,general
4x0z,3.15,general
5e5g,3.15,general
6cc9,3.15,general
6ccx,3.15,general
6cyh,3.15,general
3ad8,3.16,general
3ecn,3.16,general
3f35,3.16,general
3kpu,3.16,general
3lk0,3.16,general
4eh2,3.16,general
4pli,3.16,general
5n1x,3.16,general
4hnc,3.17,general
4uce,3.17,general
4x3i,3.17,general
6cv8,3.17,general
1b9s,3.18,general
1ro7,3.18,general
2wik,3.18,general
3at1,3.18,general
3kid,3.18,general
1o6i,3.19,general
2zdx,3.19,general
3dxh,3.19,general
4mlx,3.19,general
6f6i,3.19,general
6pvy,3.19,general
1axz,3.2,general
2nd0,3.2,general
2w0x,3.2,general
2wij,3.2,general
3kab,3.2,general
4nrm,3.2,general
5d9p,3.2,general
5flp,3.2,general
3fty,3.21,general
5mwo,3.21,general
5osd,3.21,general
6tim,3.21,general
1e72,3.22,general
1evh,3.22,general
1q5l,3.22,general
1qwu,3.22,general
1tog,3.22,general
1x6u,3.22,general
2bv4,3.22,general
3aru,3.22,general
3i8t,3.22,general
4tyl,3.22,general
4wn0,3.22,general
5go2,3.22,general
5n1y,3.22,general
5ou2,3.22,general
2gmk,3.23,general
4kc4,3.23,general
5ene,3.23,general
2r8q,3.24,general
4k60,3.24,general
4luo,3.24,general
4y2u,3.24,general
5o0a,3.24,general
6er3,3.24,general
6g9b,3.24,general
2ndo,3.25,general
4zij,3.25,general
5oxl,3.25,general
1l5s,3.26,general
3t1l,3.26,general
4egh,3.26,general
4k66,3.26,general
4wkt,3.26,general
1axr,3.27,general
4jbl,3.27,general
5jzs,3.27,general
5kdf,3.27,general
1g9t,3.28,general
1x07,3.28,general
2xgs,3.28,general
3ms4,3.28,general
4eh7,3.28,general
4yv0,3.28,general
5moe,3.28,general
5odu,3.28,general
5yf1,3.28,general
5z4o,3.28,general
1ax1,3.29,general
4f20,3.29,general
1k9r,3.3,general
1lt6,3.3,general
1o4e,3.3,general
1zd2,3.3,general
1zd3,3.3,general
2aq7,3.3,general
2aqb,3.3,general
2hd1,3.3,general
2uxx,3.3,general
2w0s,3.3,general
2xml,3.3,general
3avg,3.3,general
3avh,3.3,general
3avi,3.3,general
3avj,3.3,general
3avk,3.3,general
3avm,3.3,general
3avn,3.3,general
3ch9,3.3,general
3gv6,3.3,general
3h2c,3.3,general
3i90,3.3,general
3i91,3.3,general
3l7g,3.3,general
3n1v,3.3,general
3n1w,3.3,general
3n3l,3.3,general
3n45,3.3,general
4b6f,3.3,general
4gj8,3.3,general
4gj9,3.3,general
4j58,3.3,general
4ojq,3.3,general
4oue,3.3,general
4tz8,3.3,general
4u6e,3.3,general
4ucr,3.3,general
4x13,3.3,general
5ejw,3.3,general
5ggp,3.3,general
5l96,3.3,general
5mgg,3.3,general
5mgl,3.3,general
5mgm,3.3,general
5mt0,3.3,general
5mt4,3.3,general
5oul,3.3,general
5v19,3.3,general
5vdo,3.3,general
5vdr,3.3,general
5vds,3.3,general
6bsx,3.3,general
6hov,3.3,general
3msc,3.31,general
4kc2,3.31,general
5c7a,3.31,general
5l98,3.31,general
5os1,3.31,general
1pzo,3.32,general
4a4e,3.32,general
5gmu,3.32,general
5l99,3.32,general
5tg4,3.32,general
6dlx,3.32,general
6mey,3.32,general
6oh3,3.32,general
2a3b,3.33,general
2pnc,3.33,general
4k2y,3.33,general
4pd9,3.33,general
6mv3,3.33,general
6sy7,3.33,general
2xoi,3.34,general
3ry8,3.34,general
4gwk,3.34,general
4yuy,3.34,general
5ehi,3.34,general
2qcm,3.35,general
3zxe,3.35,general
4gnf,3.35,general
4joh,3.35,general
4u7o,3.35,general
4ucu,3.35,general
4wet,3.35,general
5wxp,3.35,general
5ze6,3.35,general
6mmo,3.35,general
6q6f,3.35,general
1ahy,3.36,general
2ha7,3.36,general
2pvv,3.36,general
2vc7,3.36,general
3av9,3.36,general
3zzh,3.36,general
4wyp,3.36,general
5orz,3.36,general
6gj5,3.36,general
6gxw,3.36,general
1v2v,3.37,general
2c6g,3.37,general
2n8t,3.37,general
4mrd,3.37,general
1z34,3.38,general
3a73,3.38,general
5l8o,3.38,general
1toj,3.39,general
2j9h,3.39,general
3mrx,3.39,general
4ms0,3.39,general
5jzb,3.39,general
